 Epoch  Sample_Size  Prec-T5  Prec-T10  Prec-T20  Prec-T30  Prec-T50      L/30      L/20     L/10      L/5
     1            3      0.0      10.0      10.0   10.0000       0.0    0.0000   11.1111  11.7647   8.5714
     1            3      0.0       0.0       5.0    6.6667       6.0    0.0000    0.0000   4.0000   6.0000
     1            3      0.0       0.0       0.0    0.0000       0.0    0.0000    0.0000   0.0000   0.0000
     2            3     40.0      20.0      30.0   20.0000       0.0   33.3333   22.2222  29.4118  17.1429
     2            3      0.0       0.0       5.0    3.3333       4.0    0.0000    0.0000   4.0000   4.0000
     2            3     40.0      70.0      60.0   60.0000      50.0   66.6667   71.4286  59.2593  48.1481
     3            3     80.0      60.0      50.0   43.3333       0.0   66.6667   55.5556  52.9412  42.8571
     3            3     20.0      20.0      30.0   26.6667      22.0   25.0000   16.6667  28.0000  22.0000
     3            3     60.0      70.0      65.0   66.6667      66.0   66.6667   64.2857  62.9630  64.8148
     4            3     20.0      10.0       5.0    6.6667       0.0   16.6667   11.1111   5.8824   5.7143
     4            3     20.0      30.0      20.0   23.3333      16.0   37.5000   25.0000  28.0000  16.0000
     4            3     60.0      60.0      45.0   43.3333      48.0   55.5556   42.8571  40.7407  50.0000
     5            3      0.0       0.0      15.0   13.3333       0.0    0.0000    0.0000  17.6471  14.2857
     5            3     60.0      40.0      45.0   43.3333      38.0   37.5000   41.6667  44.0000  38.0000
     5            3     80.0      90.0      70.0   66.6667      54.0   88.8889   71.4286  66.6667  55.5556
     6            3     20.0      60.0      60.0   60.0000       0.0   33.3333   55.5556  64.7059  57.1429
     6            3     40.0      30.0      20.0   23.3333      26.0   25.0000   25.0000  20.0000  26.0000
     6            3    100.0     100.0      95.0   86.6667      68.0  100.0000   92.8571  92.5926  66.6667
     7            3     40.0      40.0      40.0   56.6667       0.0   33.3333   33.3333  41.1765  57.1429
     7            3     40.0      50.0      50.0   46.6667      48.0   37.5000   58.3333  52.0000  48.0000
     7            3    100.0      80.0      85.0   80.0000      70.0   77.7778   85.7143  81.4815  68.5185
     8            3     80.0      60.0      65.0   60.0000       0.0   83.3333   66.6667  64.7059  60.0000
     8            3     20.0      20.0      25.0   23.3333      24.0   12.5000   25.0000  24.0000  24.0000
     8            3    100.0      90.0      90.0   86.6667      74.0  100.0000   92.8571  88.8889  74.0741
     9            3    100.0      90.0      95.0   90.0000       0.0  100.0000   88.8889  94.1176  85.7143
     9            3     40.0      30.0      25.0   26.6667      22.0   25.0000   25.0000  24.0000  22.0000
     9            3    100.0     100.0      95.0   90.0000      78.0  100.0000  100.0000  92.5926  77.7778
