Rank,Name,Method,Temp,Freq,Ident,Cov,Evalue,max,gdt,tm
1,meta_super2,super,2ZBVA,4,0.108,0.642,44,0.063,0.087,0.153
2,meta_super4,super,2CW5A,2,0.115,0.6,61,0.059,0.084,0.152
3,meta_hhsuite3,hhsuite,1WU8A,1,0.087,0.649,46,0.062,0.086,0.151
4,meta_hhsuite10,hhsuite,2Q6KA,1,0.105,0.645,1.1e+02,0.063,0.086,0.151
5,meta_hhsuite2,hhsuite,2ZBVA,4,0.108,0.642,44,0.063,0.086,0.151
6,meta_hhsuite6,hhsuite,2CW5C,2,0.108,0.617,61,0.061,0.085,0.15
7,meta_super3,super,1WU8A,1,0.087,0.649,46,0.061,0.084,0.15
8,meta_super6,super,2CW5C,2,0.108,0.617,61,0.061,0.084,0.149
9,meta_hhsuite4,hhsuite,2CW5A,2,0.115,0.6,61,0.06,0.084,0.149
10,meta_super9,super,1RQPA,1,0.129,0.719,1.3e+02,0.057,0.082,0.147
11,meta_gbli2,gbli,1V74A,8,0.059,0.312,2e+02,0.061,0.087,0.146
12,meta_ap1,ap,1V74A,8,0.056,0.329,0.0015,0.067,0.092,0.145
13,meta_hp1,hp,1V74A,8,0.052,0.305,0.0015,0.065,0.09,0.145
14,meta_hhsuite9,hhsuite,1RQPA,1,0.129,0.719,1.3e+02,0.055,0.079,0.144
15,meta_super7,super,3AO9B,1,0.028,0.252,1e+02,0.055,0.078,0.144
16,meta_ap2,ap,5E3EA,1,0.052,0.315,16,0.059,0.086,0.143
17,meta_hg1,hg,1V74A,8,0.056,0.329,0.00012,0.058,0.081,0.141
18,meta_center1,center,1V74A,8,0.049,0.375,unknown,0.063,0.087,0.139
19,meta_center0,center,1V74A,8,0.049,0.375,unknown,0.063,0.087,0.139
20,meta_blits1,blits,1V74A,8,0.052,0.326,6.6e+02,0.06,0.085,0.139
21,meta_super8,super,5E3EB,4,0.045,0.28,1.1e+02,0.059,0.08,0.139
22,meta_super1,super,5HKQA,4,0.08,0.438,0.048,0.055,0.077,0.139
23,meta_hhbl1,hhbl,5HKQA,4,0.052,0.392,0.034,0.055,0.081,0.138
24,meta_ss1,ss,1V74A,8,0.052,0.312,0.00012,0.076,0.094,0.136
25,meta_rapt2,rapt,4KOQA,1,0.031,0.231,0.01058,0.056,0.083,0.136
26,meta_center2,center,5HKQA,4,0.045,0.48,unknown,0.055,0.078,0.135
27,meta_hhsu6,hhsu,3E9AA,1,0.021,0.115,85,0.058,0.082,0.134
28,meta_star3,star,2ZBVA,4,0.063,0.592,converted,0.055,0.079,0.134
29,meta_center3,center,2ZBVA,4,0.063,0.592,unknown,0.055,0.079,0.134
30,meta_hp4,hp,2HIYA,2,0.028,0.207,45,0.054,0.08,0.133
31,meta_compro1,compro,1V74A,8,0.084,0.368,unknown,0.06,0.08,0.133
32,meta_compro0,compro,1V74A,8,0.084,0.368,unknown,0.06,0.08,0.133
33,meta_hh8,hh,2F4NA,5,0.021,0.059,5.1,0.056,0.077,0.133
34,meta_deepsf1,None,None,None,None,None,None,0,0.17,63
35,meta_deepsf2,None,None,None,None,None,None,0,0.17,63.5
36,meta_ap5,ap,2WQPA,1,0.14,0.919,38,0.045,0.069,0.133
37,meta_novel2,None,None,None,None,None,None,0,0.17,59.5
38,meta_hhsu3,hhsu,6BNGA,1,0.024,0.112,65,0.056,0.08,0.132
39,meta_novel4,None,None,None,None,None,None,0,0.11,81
40,meta_rapt8,rapt,5B0UA,1,0.045,0.357,0.02112,0.053,0.078,0.132
41,meta_ff10,ff,3C37A,1,0.066,0.421,10,0.051,0.076,0.132
42,meta_hh10,hh,2ZBVA,4,0.017,0.063,5.5,0.053,0.075,0.132
43,meta_hh9,hh,2CW5A,2,0.021,0.063,6.5,0.053,0.075,0.132
44,meta_com4,com,2IW3A,1,0.059,0.719,5.99e-01,0.049,0.073,0.132
45,meta_muster6,muster,2BIBA,1,0.087,0.968,unknown,0.043,0.067,0.132
46,meta_hhsu7,hhsu,3GKMA,1,0.007,0.063,5.5e+02,0.059,0.083,0.131
47,meta_rapt5,rapt,2XURA,1,0.052,0.736,0.01544,0.052,0.074,0.131
48,meta_rapt4,rapt,3PWEA,1,0.052,0.733,0.01413,0.052,0.073,0.131
49,meta_rapt7,rapt,4TR8A,1,0.073,0.729,0.01718,0.051,0.073,0.131
50,meta_muster9,muster,4WY9A,1,0.133,0.915,unknown,0.043,0.067,0.131
51,meta_super5,super,2F4NA,5,0.07,0.522,58,0.042,0.065,0.131
52,meta_hhbl7,hhbl,2NWRA,1,0.024,0.129,7e+02,0.056,0.081,0.13
53,meta_hp2,hp,2HIYA,2,0.024,0.136,16,0.056,0.08,0.13
54,meta_hhsu4,hhsu,1O60A,1,0.021,0.119,65,0.056,0.08,0.13
55,meta_ff9,ff,2ZKRl,1,0.063,0.4,9,0.056,0.079,0.13
56,meta_msaprobs3,msaprobs,2F4NA,5,0.119,0.708,unknown,0.041,0.064,0.13
57,meta_gbli8,gbli,3FNMA,1,0.021,0.077,2.9e+02,0.057,0.081,0.129
58,meta_hhbl5,hhbl,3PG9A,1,0.017,0.108,3.3e+02,0.056,0.081,0.129
59,meta_center4,center,2F4NA,5,0.07,0.673,unknown,0.05,0.074,0.129
60,meta_hhsuite5,hhsuite,2F4NA,5,0.07,0.522,58,0.043,0.066,0.129
61,meta_gbli4,gbli,3G9KA,1,0.017,0.077,2.3e+02,0.056,0.08,0.128
62,meta_hp5,hp,2WQPA,1,0.035,0.143,38,0.055,0.08,0.128
63,meta_hhsuite1,hhsuite,5HKQA,4,0.08,0.438,0.048,0.052,0.073,0.128
64,meta_prc3,prc,1HTOA,1,0.073,0.992,3.1,0.047,0.069,0.128
65,meta_muster10,muster,1WARA,1,0.119,0.943,unknown,0.043,0.065,0.128
66,meta_compro2,compro,2ZBVA,4,0.119,0.803,unknown,0.04,0.064,0.128
67,meta_msaprobs2,msaprobs,2ZBVA,4,0.161,0.761,unknown,0.039,0.062,0.128
68,meta_csiblast1,csiblast,5O9JA,3,0.077,0.228,0.29,0.063,0.083,0.127
69,meta_blast1,blast,5O9JA,3,0.077,0.228,0.29,0.063,0.083,0.127
70,meta_psiblast1,psiblast,5O9JA,3,0.077,0.228,0.29,0.063,0.083,0.127
71,meta_psiblast2,psiblast,5O9JB,4,0.077,0.228,0.29,0.061,0.082,0.127
72,meta_blast2,blast,5O9JB,4,0.077,0.228,0.29,0.061,0.082,0.127
73,meta_csiblast2,csiblast,5O9JB,4,0.077,0.228,0.29,0.061,0.082,0.127
74,meta_hhsu9,hhsu,1ZCOA,1,0.017,0.105,72,0.055,0.081,0.127
75,meta_hhsu8,hhsu,1PE1A,1,0.017,0.108,79,0.058,0.08,0.127
76,meta_rapt6,rapt,6AP4A,1,0.056,0.614,0.01712,0.052,0.072,0.127
77,meta_hh6,hh,1L8WA,2,0.063,0.459,1.5,0.049,0.072,0.127
78,meta_star4,star,2F4NA,5,0.066,0.582,converted,0.049,0.072,0.127
79,meta_rapt1,rapt,4V2XA,1,0.112,0.736,0.004661,0.044,0.068,0.127
80,meta_hg3,hg,3WWZA,2,0.157,0.754,4.7,0.039,0.063,0.127
81,meta_compro3,compro,2F4NA,5,0.094,0.715,unknown,0.041,0.063,0.127
82,meta_muster1,muster,5KE1A,1,0.129,0.964,unknown,0.038,0.061,0.127
83,meta_com1,com,1V74A,8,0.056,0.298,3.25e-01,0.063,0.082,0.126
