Rank,Name,Method,Temp,Freq,Ident,Cov,Evalue,max,gdt,tm
1,meta_ss8,ss,1NPLA,3,0.125,0.958,2e+02,0.246,0.307,0.276
2,meta_hh3,hh,1NPLA,3,0.125,1,10,0.243,0.307,0.275
3,meta_hs9,hs,1XD5A,5,0.166,0.916,2.6,0.238,0.303,0.27
4,meta_hh8,hh,1XD6A,2,0.18,0.944,16,0.235,0.301,0.269
5,meta_ss7,ss,1XD5A,5,0.208,0.944,1.5e+02,0.237,0.301,0.27
6,meta_hs10,hs,1XD6A,2,0.166,0.916,2.9,0.235,0.299,0.268
7,meta_ss10,ss,1JPCA,3,0.111,0.958,2.3e+02,0.238,0.299,0.269
8,meta_ss9,ss,2D04A,2,0.125,0.93,2.2e+02,0.232,0.298,0.265
9,meta_hh9,hh,1B2PA,2,0.152,1,28,0.235,0.297,0.266
10,meta_hg8,hg,1XD5A,5,0.18,0.972,1.5e+02,0.232,0.296,0.265
11,meta_hh7,hh,1JPCA,3,0.111,1,16,0.235,0.296,0.266
12,meta_hs8,hs,1B2PA,2,0.097,0.777,2.4,0.231,0.292,0.262
13,meta_hs7,hs,3A0DA,2,0.125,0.777,2.4,0.231,0.292,0.261
14,meta_hh4,hh,1XD5A,5,0.18,0.944,11,0.225,0.292,0.259
15,meta_hs6,hs,2D04A,2,0.069,0.777,1.7,0.23,0.291,0.261
16,meta_hs1,hs,1NPLA,3,0.097,0.777,0.75,0.231,0.291,0.262
17,meta_abi4_denovo7,None,None,None,None,None,None,0.213,0.29,0.252
18,meta_abi5_denovo1,None,None,None,None,None,None,0.222,0.289,0.256
19,meta_hs4,hs,2D04B,2,0.097,0.777,1.8,0.229,0.289,0.258
20,meta_hs2,hs,1JPCA,3,0.083,0.777,0.95,0.228,0.289,0.26
21,meta_hs5,hs,1KJ1A,2,0.083,0.777,2.3,0.23,0.288,0.259
22,meta_hh1,hh,1KJ1A,2,0.138,0.958,9,0.219,0.288,0.256
23,meta_abi7_denovo7,None,None,None,None,None,None,0.212,0.287,0.246
24,meta_hs3,hs,1BWUD,2,0.097,0.777,1.7,0.23,0.287,0.259
25,meta_abi7_denovo6,None,None,None,None,None,None,0.215,0.286,0.251
26,meta_center4,center,1XD5A,5,0.125,1,unknown,0.227,0.286,0.256
27,meta_hh6,hh,3A0DA,2,0.194,0.93,15,0.213,0.285,0.252
28,meta_muster3,muster,1PGUB,1,0.138,0.986,unknown,0.22,0.284,0.254
29,meta_abi2_denovo2,None,None,None,None,None,None,0.213,0.283,0.247
30,meta_abi6_denovo1,None,None,None,None,None,None,0.217,0.283,0.251
