Rank,Name,Method,Temp,Freq,Ident,Cov,Evalue,max,gdt,tm
1,meta_super2,super,2ZBVA,4,0.108,0.642,44,0.063,0.087,0.153
2,meta_hhsuite2,hhsuite,2ZBVA,4,0.108,0.642,44,0.063,0.086,0.152
3,meta_super4,super,2CW5A,2,0.115,0.6,62,0.059,0.084,0.152
4,meta_hhsuite3,hhsuite,1WU8A,1,0.087,0.649,47,0.062,0.086,0.151
5,meta_hhsuite10,hhsuite,2Q6KA,1,0.105,0.645,1.1e+02,0.063,0.086,0.151
6,meta_hhsuite6,hhsuite,2CW5C,2,0.108,0.617,62,0.061,0.085,0.151
7,meta_super3,super,1WU8A,1,0.087,0.649,47,0.061,0.084,0.15
8,meta_super6,super,2CW5C,2,0.108,0.617,62,0.061,0.085,0.149
9,meta_hhsuite4,hhsuite,2CW5A,2,0.115,0.6,62,0.06,0.084,0.149
10,meta_super9,super,1RQPA,1,0.129,0.719,1.4e+02,0.057,0.082,0.148
11,meta_hp1,hp,1V74A,8,0.052,0.305,0.0015,0.065,0.091,0.145
12,meta_gbli2,gbli,1V74A,8,0.059,0.312,2.1e+02,0.061,0.087,0.145
13,meta_hhsuite9,hhsuite,1RQPA,1,0.129,0.719,1.4e+02,0.056,0.079,0.145
14,meta_super7,super,3AO9B,1,0.028,0.252,1e+02,0.055,0.078,0.144
15,meta_blits1,blits,1V74A,8,0.052,0.326,6.7e+02,0.061,0.087,0.142
16,meta_hg1,hg,1V74A,8,0.056,0.329,0.00012,0.058,0.081,0.141
17,meta_center1,center,1V74A,8,0.049,0.375,unknown,0.063,0.088,0.14
18,meta_center0,center,1V74A,8,0.049,0.375,unknown,0.063,0.088,0.14
19,meta_super8,super,5E3EB,4,0.045,0.28,1.1e+02,0.059,0.08,0.139
20,meta_super1,super,5HKQA,4,0.08,0.438,0.049,0.055,0.077,0.139
21,meta_hhbl1,hhbl,5HKQA,4,0.052,0.392,0.034,0.055,0.08,0.137
22,meta_ss1,ss,1V74A,8,0.052,0.312,0.00012,0.075,0.094,0.135
23,meta_rapt2,rapt,4KOQA,1,0.031,0.231,0.01058,0.055,0.082,0.135
24,meta_center2,center,5HKQA,4,0.045,0.48,unknown,0.054,0.078,0.135
25,meta_star3,star,2ZBVA,4,0.063,0.592,converted,0.055,0.078,0.134
26,meta_center3,center,2ZBVA,4,0.063,0.592,unknown,0.055,0.078,0.134
27,meta_compro1,compro,1V74A,8,0.087,0.368,unknown,0.053,0.075,0.134
28,meta_compro0,compro,1V74A,8,0.087,0.368,unknown,0.053,0.075,0.134
29,meta_novel2,None,None,None,None,None,None,0,0.17,60
30,meta_hh8,hh,2F4NA,5,0.021,0.059,5.1,0.056,0.077,0.133
31,meta_hh9,hh,2CW5A,2,0.021,0.063,6.5,0.053,0.076,0.133
32,meta_deepsf1,None,None,None,None,None,None,0,0.17,63
33,meta_deepsf2,None,None,None,None,None,None,0,0.17,63.5
34,meta_ap5,ap,2WQPA,1,0.14,0.919,39,0.046,0.07,0.133
35,meta_hhsu3,hhsu,6BNGA,1,0.024,0.112,66,0.056,0.08,0.132
36,meta_novel4,None,None,None,None,None,None,0,0.11,82
37,meta_hh10,hh,2ZBVA,4,0.017,0.063,5.5,0.054,0.076,0.132
38,meta_com4,com,2IW3A,1,0.059,0.719,6.00e-01,0.048,0.073,0.132
