Rank,Name,Method,Temp,Freq,Ident,Cov,Evalue,max,gdt,tm
1,meta_com8,com,2CH7A,2,0.087,0.818,7.00e-05,0.087,0.114,0.169
2,meta_rapt4,rapt,1CIIA,1,0.067,0.937,0.0001132,0.085,0.111,0.167
3,meta_center1,center,3VKGA,9,0.076,0.983,unknown,0.086,0.111,0.166
4,meta_ff3,ff,5XG2A,10,0.073,0.634,3,0.084,0.109,0.164
5,meta_rapt10,rapt,2CH7B,1,0.065,0.858,0.0001655,0.084,0.11,0.163
6,meta_abi6_denovo6,None,None,None,None,None,None,0.082,0.106,0.163
7,meta_abi5_denovo0,None,None,None,None,None,None,0.081,0.105,0.162
8,meta_psiblast1,psiblast,3VKGA,9,0.181,0.9,e-130,0.078,0.103,0.162
9,meta_super2,super,3VKGA,9,0.099,0.852,82,0.078,0.103,0.162
10,meta_novel3,None,None,None,None,None,None,0.083,0.108,0.161
11,meta_hh7,hh,2CH7A,2,0.087,0.818,0.0065,0.082,0.108,0.161
12,meta_hh6,hh,3NA7A,5,0.067,0.478,2.5e-05,0.081,0.107,0.161
13,meta_abi5_denovo2,None,None,None,None,None,None,0.079,0.104,0.161
14,meta_hhsuite2,hhsuite,3VKGA,9,0.099,0.852,82,0.076,0.101,0.161
15,meta_psiblast2,psiblast,3VKGB,2,0.172,0.861,e-124,0.074,0.1,0.161
16,meta_hg1,hg,5XG2A,10,0.084,0.634,0.052,0.081,0.106,0.16
17,meta_abi7_denovo6,None,None,None,None,None,None,0.08,0.105,0.16
18,meta_hs7,hs,5NNVA,3,0.079,0.611,1.5e-12,0.079,0.105,0.16
19,meta_abi2_denovo3,None,None,None,None,None,None,0.083,0.106,0.159
20,meta_abi5_denovo6,None,None,None,None,None,None,0.079,0.103,0.159
21,meta_star1,star,3VKGA,9,0.073,0.875,converted,0.076,0.101,0.159
22,meta_hs1,hs,5XG2A,10,0.053,0.668,6.9e-21,0.082,0.106,0.158
23,meta_abi7_denovo1,None,None,None,None,None,None,0.081,0.105,0.158
24,meta_super3,super,5XBJA,1,0.076,0.524,20,0.081,0.105,0.158
25,meta_abi6_denovo1,None,None,None,None,None,None,0.078,0.102,0.158
26,meta_csiblast1,csiblast,3VKGA,9,0.11,0.634,1e-73,0.072,0.099,0.158
27,meta_csiblast3,csiblast,5NUGA,3,0.076,0.481,1e-50,0.075,0.099,0.158
28,meta_center3,center,5XG2A,10,0.096,0.671,unknown,0.085,0.11,0.157
29,meta_center0,center,5XG2A,10,0.096,0.671,unknown,0.085,0.11,0.157
30,meta_rapt5,rapt,5LM1A,1,0.101,0.892,0.0001175,0.083,0.106,0.157
31,meta_abi7_denovo5,None,None,None,None,None,None,0.079,0.103,0.157
32,meta_rapt3,rapt,4D1EA,1,0.096,0.903,0.000106,0.076,0.102,0.157
33,meta_abi4_denovo3,None,None,None,None,None,None,0.08,0.102,0.157
34,meta_abi5_denovo5,None,None,None,None,None,None,0.078,0.101,0.157
35,meta_novel1,None,None,None,None,None,None,0.079,0.104,0.156
36,meta_center4,center,5XEIA,6,0.056,1,unknown,0.079,0.103,0.156
37,meta_com9,com,3NA7A,5,0.045,0.467,8.25e-05,0.077,0.101,0.156
38,meta_abi3_denovo3,None,None,None,None,None,None,0.076,0.1,0.156
39,meta_abi5_denovo4,None,None,None,None,None,None,0.078,0.1,0.156
40,meta_abi4_denovo2,None,None,None,None,None,None,0.076,0.099,0.156
41,meta_abi3_denovo7,None,None,None,None,None,None,0.074,0.099,0.156
42,meta_super6,super,5NUGA,3,0.084,0.781,3e+02,0.075,0.098,0.156
43,meta_abi6_denovo4,None,None,None,None,None,None,0.077,0.1,0.155
44,meta_abi6_denovo2,None,None,None,None,None,None,0.074,0.098,0.155
45,meta_csiblast2,csiblast,3VKGB,2,0.101,0.594,2e-67,0.072,0.098,0.155
46,meta_hs2,hs,1C1GA,8,0.079,0.801,3.9e-15,0.085,0.11,0.154
47,meta_abi6_denovo7,None,None,None,None,None,None,0.08,0.102,0.154
48,meta_super1,super,2D4YA,2,0.062,0.515,29,0.078,0.101,0.154
49,meta_abi6_denovo0,None,None,None,None,None,None,0.078,0.1,0.154
50,meta_abi6_denovo5,None,None,None,None,None,None,0.078,0.1,0.154
51,meta_blits3,blits,5J65A,2,0.093,0.869,0.13,0.076,0.099,0.154
52,meta_hg4,hg,4ILOA,6,0.053,0.532,1.6,0.075,0.098,0.154
53,meta_abi7_denovo0,None,None,None,None,None,None,0.074,0.097,0.154
54,meta_abi2_denovo6,None,None,None,None,None,None,0.072,0.097,0.154
55,meta_hs8,hs,3NA7A,5,0.059,0.487,9.6e-12,0.076,0.101,0.153
56,meta_abi7_denovo3,None,None,None,None,None,None,0.078,0.101,0.153
57,meta_rapt2,rapt,4HPQC,1,0.084,0.937,7.933e-05,0.074,0.1,0.153
58,meta_abi3_denovo1,None,None,None,None,None,None,0.076,0.098,0.153
59,meta_abi7_denovo4,None,None,None,None,None,None,0.08,0.103,0.152
60,meta_abi7_denovo2,None,None,None,None,None,None,0.079,0.1,0.152
61,meta_ff1,ff,5XG2A,10,0.039,0.283,1,0.077,0.099,0.152
62,meta_abi3_denovo4,None,None,None,None,None,None,0.073,0.095,0.152
63,meta_sam1,sam,5M86A,1,0.05,0.371,2.28e-01,0.074,0.095,0.152
64,meta_novel5,None,None,None,None,None,None,0.086,0.11,0.151
65,meta_hh3,hh,1C1GA,8,0.073,0.798,7.1e-06,0.086,0.109,0.151
66,meta_gbli6,gbli,1C1GA,8,0.07,0.793,0.0001,0.085,0.108,0.151
67,meta_muster4,muster,5LM1A,1,0.087,0.912,unknown,0.081,0.104,0.151
68,meta_hg8,hg,2OCYA,1,0.062,0.41,7.3,0.077,0.102,0.151
69,meta_hh4,hh,4ILOA,6,0.073,0.524,6e-06,0.077,0.101,0.151
70,meta_hg6,hg,3VKGA,9,0.099,0.968,6.2,0.077,0.101,0.151
71,meta_abi4_denovo5,None,None,None,None,None,None,0.078,0.1,0.151
72,meta_rapt6,rapt,2OEXA,1,0.073,0.906,0.0001408,0.077,0.099,0.151
73,meta_super10,super,2PNVA,1,0.014,0.11,27,0.077,0.099,0.151
74,meta_abi4_denovo1,None,None,None,None,None,None,0.077,0.098,0.151
75,meta_blits4,blits,5GHEA,4,0.09,0.883,0.26,0.076,0.097,0.151
76,meta_super4,super,4CGKA,1,0.07,0.566,14,0.072,0.096,0.151
77,meta_csiblast5,csiblast,3VKHC,2,0.059,0.325,3e-39,0.07,0.095,0.151
78,meta_hhsuite6,hhsuite,5NUGA,3,0.084,0.781,3e+02,0.07,0.093,0.151
79,meta_muster2,muster,5J1IA,1,0.082,0.968,unknown,0.082,0.103,0.15
80,meta_muster9,muster,2R02A,2,0.079,0.983,unknown,0.078,0.1,0.15
81,meta_abi2_denovo1,None,None,None,None,None,None,0.077,0.099,0.15
82,meta_csiblast4,csiblast,5XEIA,6,0.104,0.535,5e-46,0.075,0.099,0.15
83,meta_abi3_denovo0,None,None,None,None,None,None,0.077,0.098,0.15
84,meta_abi2_denovo0,None,None,None,None,None,None,0.075,0.097,0.15
85,meta_deepsf2,None,None,None,None,None,None,0.074,0.095,0.15
86,meta_abi2_denovo2,None,None,None,None,None,None,0.073,0.094,0.15
