Rank,Name,Method,Temp,Freq,Ident,Cov,Evalue,max,gdt,tm
1,meta_novel2,None,None,None,None,None,None,0.349,0.383,0.448
2,meta_novel4,None,None,None,None,None,None,0.344,0.381,0.445
3,meta_blits3,blits,1CUOA,3,0.114,0.672,3.9e-13,0.335,0.371,0.44
4,meta_hmmer3,hmmer,1QHQA,8,0.125,0.748,6.9e-15,0.333,0.371,0.442
5,meta_hhsu1,hhsu,1AIZA,2,0.109,0.672,6.8e-20,0.334,0.369,0.439
6,meta_hhsuite6,hhsuite,1AIZA,2,0.103,0.677,7.2e-15,0.332,0.368,0.44
7,meta_novel3,None,None,None,None,None,None,0.329,0.368,0.44
8,meta_novel5,None,None,None,None,None,None,0.332,0.368,0.437
9,meta_prc1,prc,1QHQA,8,0.12,0.759,1.5e-18,0.326,0.367,0.439
10,meta_hhsu10,hhsu,1JZGA,2,0.081,0.655,2.3e-17,0.334,0.367,0.437
11,meta_hhsuite10,hhsuite,1NWPA,2,0.087,0.672,9.3e-15,0.33,0.366,0.441
12,meta_center2,center,1QHQA,8,0.142,0.759,unknown,0.325,0.366,0.432
13,meta_center0,center,1QHQA,8,0.142,0.759,unknown,0.325,0.366,0.432
14,meta_hhbl7,hhbl,2CCWA,2,0.092,0.633,6.3e-16,0.332,0.365,0.438
15,meta_hhsu6,hhsu,1DYZA,1,0.087,0.666,1.6e-18,0.329,0.365,0.434
16,meta_star4,star,2AANA,6,0.114,0.644,converted,0.325,0.365,0.43
17,meta_hhbl2,hhbl,1CUOA,3,0.12,0.661,2.9e-18,0.324,0.365,0.435
18,meta_hh2,hh,1OV8A,1,0.12,0.726,1.1e-26,0.326,0.365,0.437
19,meta_ap1,ap,1CUOA,3,0.136,0.672,9.5e-20,0.323,0.363,0.436
20,meta_com1,com,1QHQA,8,0.12,0.688,1.86e-15,0.322,0.362,0.439
21,meta_hhsuite9,hhsuite,1JZGA,2,0.092,0.65,6.6e-15,0.327,0.361,0.436
22,meta_rapt1,rapt,1OV8A,1,0.131,0.688,2.245e-06,0.322,0.36,0.425
23,meta_hp1,hp,1CUOA,3,0.136,0.661,9.5e-20,0.321,0.36,0.434
24,meta_hhsu5,hhsu,2IAAC,2,0.065,0.661,1.4e-18,0.322,0.36,0.43
25,meta_blits2,blits,3AY2A,5,0.092,0.661,3.7e-13,0.32,0.359,0.434
26,meta_center4,center,2AANA,6,0.109,0.672,unknown,0.319,0.359,0.423
27,meta_hp2,hp,3AY2A,5,0.098,0.666,8.7e-20,0.32,0.359,0.435
28,meta_ap2,ap,3AY2A,5,0.098,0.666,8.1e-20,0.32,0.359,0.435
29,meta_hhsuite7,hhsuite,2IAAC,2,0.071,0.65,5e-15,0.322,0.358,0.434
30,meta_blits7,blits,2CCWA,2,0.087,0.672,2.2e-11,0.321,0.357,0.43
31,meta_sam2,sam,2AANA,6,0.114,0.628,1.36e-07,0.315,0.357,0.43
32,meta_super2,super,4HCIA,1,0.103,0.469,1.8e-15,0.323,0.356,0.436
33,meta_hh1,hh,1QHQA,8,0.12,0.726,1.1e-26,0.319,0.356,0.43
34,meta_hhsu3,hhsu,1NWPA,2,0.092,0.639,2.9e-19,0.319,0.356,0.428
35,meta_prc2,prc,2AANA,6,0.109,0.666,7.0e-11,0.314,0.355,0.427
36,meta_hhbl5,hhbl,3FSAA,2,0.087,0.606,2e-16,0.315,0.355,0.431
37,meta_super7,super,2IAAC,2,0.071,0.65,5e-15,0.32,0.355,0.429
38,meta_msaprobs2,msaprobs,1QHQA,8,0.169,0.726,unknown,0.313,0.355,0.423
39,meta_msaprobs0,msaprobs,1QHQA,8,0.169,0.726,unknown,0.313,0.355,0.423
40,meta_sam1,sam,1QHQA,8,0.125,0.639,1.05e-07,0.322,0.355,0.426
41,meta_hmmer2,hmmer,2AANA,6,0.12,0.672,1.2e-16,0.32,0.355,0.432
42,meta_hhsuite4,hhsuite,3AY2A,5,0.081,0.644,3.3e-15,0.316,0.354,0.43
43,meta_hhsu4,hhsu,1JOIA,1,0.087,0.666,9.8e-19,0.319,0.354,0.424
44,meta_hhsu8,hhsu,3AY2A,5,0.092,0.655,7.6e-18,0.312,0.354,0.426
45,meta_hhbl4,hhbl,3AY2A,5,0.076,0.661,1.9e-17,0.311,0.353,0.43
46,meta_super4,super,3AY2A,5,0.081,0.644,3.3e-15,0.314,0.353,0.435
47,meta_hp3,hp,2N0MA,3,0.092,0.661,1e-18,0.313,0.353,0.429
48,meta_compro0,compro,1QHQA,8,0.153,0.737,unknown,0.306,0.35,0.418
49,meta_compro2,compro,1QHQA,8,0.153,0.737,unknown,0.306,0.35,0.418
50,meta_rapt2,rapt,2AZAA,1,0.092,0.683,5.578e-06,0.302,0.348,0.418
