Rank,Name,Method,Temp,Freq,Ident,Cov,Evalue,max,gdt,tm
1,meta_hg9,hg,2NLIB,1,0.144,0.819,39,0.061,0.09,0.162
2,meta_uniconfold2,None,None,None,None,None,None,0.056,0.085,0.159
3,meta_confold2-2,None,None,None,None,None,None,0.056,0.085,0.158
4,meta_hg5,hg,1GOXA,2,0.124,0.823,10,0.061,0.089,0.157
5,meta_abi6_denovo3,None,None,None,None,None,None,0.056,0.087,0.157
6,meta_muster6,muster,4KH3A,2,0.168,0.959,unknown,0.047,0.078,0.156
7,meta_rapt4,rapt,2F00A,1,0.036,0.377,0.01318,0.071,0.103,0.155
8,meta_center2,center,1QYSA,4,0.048,0.365,unknown,0.072,0.101,0.155
9,meta_star2,star,1QYSA,4,0.048,0.365,converted,0.072,0.101,0.155
10,meta_muster8,muster,1OMJA,2,0.172,0.811,unknown,0.053,0.083,0.155
11,meta_muster5,muster,5N8PA,1,0.144,0.979,unknown,0.048,0.078,0.155
12,meta_sam3,sam,3N2EC,1,0.084,0.248,1.02e+00,0.071,0.103,0.154
13,meta_hg6,hg,1KBIA,2,0.14,0.903,18,0.059,0.087,0.154
14,meta_abi5_denovo1,None,None,None,None,None,None,0.056,0.086,0.154
15,meta_hg4,hg,2NZLA,2,0.16,0.771,4.2,0.059,0.086,0.153
16,meta_rocon1,None,None,None,None,None,None,0.055,0.085,0.153
17,meta_abi4_denovo2,None,None,None,None,None,None,0.055,0.084,0.153
18,meta_novel1,None,None,None,None,None,None,0.054,0.083,0.153
19,meta_rapt5,rapt,1XMBA,1,0.04,0.333,0.01469,0.07,0.101,0.152
20,meta_gbli4,gbli,5OY0A,2,0.056,0.277,2.3e+03,0.071,0.101,0.152
21,meta_gbli3,gbli,5OY0A,2,0.056,0.277,2.3e+03,0.071,0.101,0.152
22,meta_psiblast7,psiblast,6CN1B,3,0.128,0.401,0.46,0.069,0.099,0.152
23,meta_ff6,ff,2KD5A,1,0.072,0.558,6,0.064,0.093,0.152
24,meta_ff8,ff,3P56B,1,0.06,0.397,8,0.064,0.093,0.152
25,meta_confold2-5,None,None,None,None,None,None,0.057,0.084,0.152
26,meta_uniconfold5,None,None,None,None,None,None,0.057,0.084,0.152
27,meta_abi5_denovo4,None,None,None,None,None,None,0.054,0.084,0.152
28,meta_abi6_denovo1,None,None,None,None,None,None,0.056,0.084,0.152
29,meta_rocon4,None,None,None,None,None,None,0.055,0.083,0.152
30,meta_hhbl3,hhbl,3QK9A,1,0.028,0.196,45,0.072,0.103,0.151
31,meta_rapt3,rapt,1R6VA,1,0.028,0.305,0.01199,0.071,0.101,0.151
32,meta_blits3,blits,5GOLA,3,0.04,0.305,4.5e+02,0.068,0.099,0.151
33,meta_super2,super,1OX8A,1,0.064,0.365,2.8e+02,0.06,0.087,0.151
34,meta_rocon3,None,None,None,None,None,None,0.057,0.086,0.151
35,meta_rocon2,None,None,None,None,None,None,0.058,0.086,0.151
36,meta_hg2,hg,2J6XA,2,0.156,0.811,1.7,0.059,0.086,0.151
37,meta_uniconfold3,None,None,None,None,None,None,0.058,0.085,0.151
38,meta_confold2-3,None,None,None,None,None,None,0.058,0.085,0.151
39,meta_super1,super,1OU8A,1,0.06,0.369,2.3e+02,0.057,0.085,0.151
40,meta_abi4_denovo1,None,None,None,None,None,None,0.054,0.084,0.151
41,meta_abi4_denovo3,None,None,None,None,None,None,0.054,0.084,0.151
42,meta_abi4_denovo0,None,None,None,None,None,None,0.053,0.083,0.151
43,meta_confold2-1,None,None,None,None,None,None,0.053,0.082,0.151
44,meta_uniconfold1,None,None,None,None,None,None,0.053,0.082,0.151
45,meta_hhsuite10,hhsuite,3T1BB,1,0.088,0.887,2.9e+02,0.052,0.081,0.151
46,meta_hhbl4,hhbl,4KYZA,1,0.02,0.088,3.1e+02,0.074,0.104,0.15
47,meta_sam2,sam,3N2EA,1,0.084,0.248,9.23e-01,0.07,0.101,0.15
48,meta_gbli5,gbli,1BMWA,1,0.028,0.317,2.9e+03,0.066,0.097,0.15
49,meta_ff9,ff,1Q3IA,1,0.048,0.365,9,0.065,0.093,0.15
50,meta_ff10,ff,XXX3A,1,0.092,0.586,10,0.061,0.092,0.15
51,meta_hs9,hs,1AKLA,3,0.112,0.598,8.4,0.059,0.087,0.15
52,meta_hs10,hs,1KAPP,2,0.112,0.598,8.4,0.058,0.086,0.15
53,meta_com7,com,2V1UA,1,0.056,0.429,1.03e+00,0.056,0.085,0.15
54,meta_hhsuite6,hhsuite,5Y2VA,1,0.132,0.835,2e+02,0.054,0.083,0.15
55,meta_abi5_denovo7,None,None,None,None,None,None,0.055,0.083,0.15
56,meta_super7,super,2PIJA,1,0.044,0.22,2e+02,0.05,0.08,0.15
57,meta_muster9,muster,1AKLA,3,0.156,0.987,unknown,0.049,0.079,0.15
58,meta_msaprobs3,msaprobs,6CN1A,3,0.224,0.791,unknown,0.049,0.078,0.15
59,meta_sam1,sam,1ZUHA,1,0.084,0.248,8.89e-01,0.072,0.102,0.149
60,meta_hg3,hg,1P4CA,2,0.132,0.815,2.9,0.062,0.088,0.149
61,meta_abi4_denovo7,None,None,None,None,None,None,0.055,0.083,0.149
62,meta_abi3_denovo1,None,None,None,None,None,None,0.054,0.083,0.149
63,meta_hs2,hs,3P4GA,2,0.108,0.634,0.14,0.053,0.082,0.149
64,meta_abi4_denovo4,None,None,None,None,None,None,0.052,0.082,0.149
65,meta_muster7,muster,4RU4A,1,0.184,0.979,unknown,0.047,0.075,0.149
66,meta_hhsu4,hhsu,1M3SA,1,0.028,0.293,1.8e+02,0.072,0.102,0.148
67,meta_hhsu2,hhsu,2XHZA,1,0.016,0.088,2.7e+02,0.072,0.101,0.148
68,meta_sam5,sam,5DZ7A,1,0.072,0.365,3.19e+00,0.07,0.1,0.148
69,meta_rapt2,rapt,5VPNA,1,0.052,0.425,0.009822,0.07,0.098,0.148
70,meta_ss1,ss,2PNEA,6,0.024,0.132,8.1,0.067,0.093,0.148
