Rank,Name,Method,Temp,Freq,Ident,Cov,Evalue,max,gdt,tm
1,meta_hmmer4,hmmer,1MFTA,3,0.193,0.26,0.053,0.162,0.197,0.228
2,meta_csiblast4,csiblast,4CVTA,3,0.153,0.448,1e-19,0.158,0.19,0.222
3,meta_abi4_denovo1,None,None,None,None,None,None,0,0.27,83.5
4,meta_csiblast5,csiblast,4CVSA,3,0.153,0.448,1e-19,0.157,0.188,0.221
5,meta_csiblast7,csiblast,4CVRA,3,0.153,0.448,1e-19,0.154,0.188,0.22
6,meta_abi5_denovo2,None,None,None,None,None,None,0,0.27,81
7,meta_hmmer3,hmmer,2CH7A,3,0.03,0.244,0.04,0.151,0.187,0.218
8,meta_gbli1,gbli,2LFDA,3,0.244,0.53,1e-07,0.155,0.187,0.227
9,meta_hhsuite1,hhsuite,4ETRA,5,0.193,0.26,0.00031,0.154,0.185,0.226
10,meta_muster5,muster,4TQLA,7,0.127,1,unknown,0.147,0.185,0.215
11,meta_csiblast10,csiblast,4CVPA,3,0.153,0.428,2e-19,0.151,0.184,0.216
12,meta_csiblast6,csiblast,4XKSA,2,0.147,0.448,1e-19,0.151,0.184,0.216
13,meta_hhsuite2,hhsuite,2HZ8A,3,0.234,0.535,0.0015,0.153,0.184,0.227
14,meta_blits1,blits,2LFDA,3,0.244,0.53,3.8e-08,0.155,0.184,0.223
15,meta_rapt5,rapt,4TQLA,7,0.142,0.994,0.0004683,0.144,0.184,0.213
16,meta_hmmer7,hmmer,2HZ8A,3,0.188,0.464,0.14,0.152,0.183,0.218
17,meta_hs5,hs,4UOSA,2,0.117,0.938,6e-19,0.142,0.181,0.216
18,meta_csiblast2,csiblast,1BFRA,3,0.153,0.459,4e-20,0.149,0.18,0.215
19,meta_abi7_denovo4,None,None,None,None,None,None,0,0.26,87
20,meta_blast3,blast,4CVTA,3,0.153,0.448,3e-20,0.151,0.179,0.207
21,meta_psiblast3,psiblast,4CVTA,3,0.153,0.448,3e-20,0.151,0.179,0.207
22,meta_blits6,blits,3HIUA,2,0.076,0.673,0.17,0.152,0.179,0.216
23,meta_gbli8,gbli,3BKNA,3,0.137,0.739,12,0.147,0.179,0.217
24,meta_muster4,muster,6F1TX,1,0.158,1,unknown,0.144,0.178,0.202
25,meta_abi6_denovo2,None,None,None,None,None,None,0,0.23,97.5
26,meta_muster10,muster,5C1FA,1,0.076,1,unknown,0.14,0.178,0.209
27,meta_rapt3,rapt,5NNVA,3,0.137,0.989,0.0003679,0.14,0.178,0.208
28,meta_center2,center,5XG2A,10,0.107,1,unknown,0.145,0.178,0.206
29,meta_center0,center,5XG2A,10,0.107,1,unknown,0.145,0.178,0.206
30,meta_csiblast1,csiblast,4XKSK,3,0.142,0.448,8e-21,0.145,0.177,0.207
31,meta_blast4,blast,4CVSA,3,0.153,0.448,3e-20,0.148,0.177,0.205
32,meta_psiblast4,psiblast,4CVSA,3,0.153,0.448,3e-20,0.148,0.177,0.205
33,meta_csiblast9,csiblast,1BCFA,1,0.147,0.448,2e-19,0.144,0.177,0.215
34,meta_blits7,blits,5N5EA,4,0.061,0.474,0.12,0.15,0.177,0.215
35,meta_hmmer2,hmmer,5J0KA,1,0.066,0.367,0.029,0.145,0.177,0.211
36,meta_super7,super,5N5Ee,2,0.086,0.484,0.054,0.149,0.177,0.208
37,meta_novel2,None,None,None,None,None,None,0,0.28,76
38,meta_muster1,muster,5XG2A,10,0.122,0.994,unknown,0.143,0.177,0.202
39,meta_prc1,prc,5XG2A,10,0.153,0.948,3.9,0.138,0.177,0.208
40,meta_novel3,None,None,None,None,None,None,0,0.42,20.5
41,meta_psiblast5,psiblast,4CVRA,3,0.153,0.448,4e-20,0.147,0.176,0.205
42,meta_blast5,blast,4CVRA,3,0.153,0.448,4e-20,0.147,0.176,0.205
43,meta_hhbl5,hhbl,5N5EA,4,0.045,0.295,7.7e-06,0.147,0.176,0.206
44,meta_rapt1,rapt,6F1TX,1,0.132,1,0.000195,0.141,0.176,0.202
45,meta_gbli5,gbli,2UX1A,1,0.045,0.413,1.2,0.146,0.176,0.212
46,meta_rapt4,rapt,5XG2A,10,0.142,0.969,0.0004461,0.141,0.176,0.204
47,meta_hh3,hh,4UOSA,2,0.127,0.933,1.1e-13,0.134,0.176,0.215
48,meta_hs7,hs,5XG2A,10,0.122,0.974,9.4e-16,0.142,0.175,0.204
49,meta_hhbl4,hhbl,5N5EA,4,0.045,0.295,7.7e-06,0.149,0.174,0.201
50,meta_hhsu1,hhsu,1MFTA,3,0.193,0.25,5.7e-08,0.145,0.173,0.204
51,meta_hhsuite5,hhsuite,1Y47A,2,0.147,0.234,0.013,0.142,0.173,0.205
52,meta_hhsuite7,hhsuite,5N5Ee,2,0.086,0.484,0.054,0.147,0.173,0.202
53,meta_super2,super,2HZ8A,3,0.234,0.535,0.0015,0.143,0.173,0.215
54,meta_super1,super,4ETRA,5,0.193,0.26,0.00031,0.143,0.173,0.211
55,meta_muster2,muster,5NNVA,3,0.122,1,unknown,0.14,0.173,0.202
56,meta_jackhmmer3,jackhmmer,2EFRA,1,0.127,0.78,9.3e-12,0.136,0.172,0.2
57,meta_psiblast9,psiblast,3GHQA,2,0.147,0.454,8e-20,0.145,0.172,0.199
58,meta_hhbl6,hhbl,3PWFA,2,0.03,0.29,5.8e-06,0.145,0.172,0.203
59,meta_gbli4,gbli,3QHBA,1,0.071,0.418,0.23,0.136,0.172,0.214
60,meta_blits10,blits,3PWFA,2,0.132,0.806,0.41,0.145,0.172,0.207
61,meta_hh2,hh,5XG2A,10,0.158,0.984,2.8e-12,0.134,0.172,0.203
62,meta_muster9,muster,5NENA,1,0.122,1,unknown,0.141,0.172,0.203
63,meta_rapt2,rapt,2TMAA,1,0.137,0.984,0.0002194,0.135,0.171,0.198
64,meta_psiblast2,psiblast,1BFRA,3,0.153,0.459,3e-20,0.145,0.171,0.199
65,meta_blast2,blast,1BFRA,3,0.153,0.459,3e-20,0.145,0.171,0.199
66,meta_psiblast8,psiblast,4XKSA,2,0.147,0.454,8e-20,0.144,0.171,0.199
67,meta_abi6_denovo7,None,None,None,None,None,None,0,0.21,106.5
68,meta_hh1,hh,4TQLA,7,0.163,1,1.4e-20,0.142,0.171,0.199
69,meta_hhsu2,hhsu,1JM0A,2,0.163,0.234,7.9e-08,0.136,0.17,0.203
70,meta_super5,super,4ETRA,5,0.147,0.234,0.013,0.139,0.17,0.204
71,meta_psiblast7,psiblast,4CVPA,3,0.153,0.428,7e-20,0.144,0.17,0.196
72,meta_hhsu7,hhsu,2HZ8A,3,0.178,0.397,1.1e-06,0.142,0.17,0.205
73,meta_hhbl9,hhbl,4ETRA,5,0.051,0.29,9.3e-05,0.146,0.17,0.198
74,meta_blast1,blast,4XKSK,3,0.142,0.454,5e-21,0.142,0.17,0.2
75,meta_psiblast1,psiblast,4XKSK,3,0.142,0.454,6e-21,0.142,0.17,0.2
76,meta_hhsu5,hhsu,5N5FA,2,0.04,0.29,9.1e-07,0.135,0.17,0.2
77,meta_novel4,None,None,None,None,None,None,0,0.37,44.5
78,meta_hhbl1,hhbl,5C39A,2,0.193,0.244,6.8e-08,0.143,0.17,0.198
79,meta_hhsu3,hhsu,5N5Ee,2,0.051,0.387,9.7e-07,0.141,0.17,0.207
80,meta_hhbl3,hhbl,5N5EA,4,0.045,0.295,7.7e-06,0.144,0.17,0.201
81,meta_jackhmmer2,jackhmmer,5XG2A,10,0.112,0.729,2.2e-15,0.129,0.17,0.203
82,meta_abi2_denovo3,None,None,None,None,None,None,0,0.24,94
83,meta_novel5,None,None,None,None,None,None,0,0.43,17
84,meta_rapt8,rapt,1C1GA,2,0.142,1,0.0006064,0.134,0.169,0.194
85,meta_hhbl7,hhbl,3PWFA,2,0.03,0.29,7.2e-06,0.142,0.169,0.199
86,meta_center4,center,5XEIA,5,0.112,1,unknown,0.131,0.169,0.197
87,meta_hhsuite4,hhsuite,1JM0A,2,0.163,0.244,0.014,0.14,0.168,0.197
88,meta_psiblast10,psiblast,4U3GA,1,0.153,0.459,1e-19,0.139,0.168,0.194
89,meta_abi7_denovo0,None,None,None,None,None,None,0,0.28,77.5
90,meta_gbli3,gbli,4EVEA,1,0.066,0.387,4.5,0.139,0.168,0.21
91,meta_muster3,muster,5XEIA,5,0.122,0.989,unknown,0.136,0.168,0.195
92,meta_rapt6,rapt,4F61I,1,0.122,0.974,0.0005255,0.131,0.167,0.193
93,meta_csiblast8,csiblast,3GHQA,2,0.147,0.448,1e-19,0.141,0.167,0.197
94,meta_psiblast6,psiblast,3E1NA,2,0.147,0.448,6e-20,0.139,0.167,0.194
95,meta_hhbl8,hhbl,3PWFA,2,0.045,0.301,1.2e-05,0.139,0.167,0.199
96,meta_hhbl10,hhbl,4ETRA,5,0.051,0.29,9.3e-05,0.14,0.167,0.201
