Rank,Name,Method,Temp,Freq,Ident,Cov,Evalue,max,gdt,tm
1,meta_msaprobs1,msaprobs,4D1GA,17,0.471,1,unknown,0.482,0.517,0.518
2,meta_center1,center,4D1GA,17,0.471,1,unknown,0.482,0.517,0.518
3,meta_star1,star,4D1GA,17,0.471,1,converted,0.482,0.517,0.518
4,meta_center3,center,4D1GA,17,0.471,1,unknown,0.482,0.517,0.518
5,meta_center0,center,4D1GA,17,0.471,1,unknown,0.482,0.517,0.518
6,meta_star0,star,4D1GA,17,0.471,1,converted,0.482,0.517,0.518
7,meta_rapt4,rapt,4D1FA,1,0.471,1,1.742e-09,0.482,0.517,0.517
8,meta_blits1,blits,4D0VA,8,0.471,1,4.4e-62,0.482,0.517,0.518
9,meta_center2,center,4D1GA,17,0.471,1,unknown,0.482,0.517,0.518
10,meta_star2,star,4D1GA,17,0.471,1,converted,0.482,0.517,0.518
11,meta_blits2,blits,4UMIA,8,0.471,1,1e-61,0.48,0.516,0.517
12,meta_sam5,sam,4D1GA,17,0.48,0.98,6.50e-26,0.481,0.516,0.517
13,meta_multicom3,multicom,4UMIA,8,0.48,0.98,1e-45,0.481,0.516,0.517
14,meta_msaprobs3,msaprobs,4D1GA,17,0.471,1,unknown,0.482,0.516,0.517
15,meta_msaprobs0,msaprobs,4D1GA,17,0.471,1,unknown,0.482,0.516,0.517
16,meta_csiblast3,csiblast,4D0VA,8,0.48,0.98,1e-46,0.48,0.516,0.517
17,meta_compro0,compro,4D1GA,17,0.471,1,unknown,0.481,0.516,0.517
18,meta_compro3,compro,4D1GA,17,0.471,1,unknown,0.481,0.516,0.517
19,meta_msaprobs4,msaprobs,4D1GA,17,0.471,1,unknown,0.481,0.516,0.517
20,meta_sam2,sam,4D1GA,17,0.48,0.98,6.27e-26,0.481,0.516,0.517
21,meta_msaprobs2,msaprobs,4D1GA,17,0.471,1,unknown,0.482,0.516,0.518
22,meta_multicom2,multicom,4D1GA,17,0.48,0.98,9e-46,0.48,0.516,0.517
23,meta_blits3,blits,4UMIA,8,0.471,1,4e-58,0.48,0.516,0.516
24,meta_hmmer3,hmmer,4D1GA,17,0.471,1,3.7e-56,0.482,0.516,0.518
25,meta_hmmer2,hmmer,4D1GA,17,0.471,1,3.6e-56,0.482,0.516,0.518
26,meta_hg1,hg,4D1GA,17,0.471,1,0,0.481,0.516,0.517
27,meta_ss1,ss,4D1GA,17,0.471,1,0,0.481,0.516,0.517
28,meta_hhsu1,hhsu,4D1GA,17,0.471,1,1.5e-64,0.481,0.516,0.517
29,meta_prc1,prc,4D1GA,17,0.471,1,2.1e-26,0.481,0.516,0.517
30,meta_hhsuite1,hhsuite,4D1GA,17,0.471,1,3.5e-62,0.481,0.516,0.517
31,meta_multicom4,multicom,4D0VA,8,0.48,0.98,1e-45,0.48,0.516,0.517
32,meta_hmmer1,hmmer,4D1GA,17,0.471,1,3.5e-56,0.482,0.516,0.518
33,meta_blast4,blast,4D1GE,5,0.48,0.98,1e-46,0.48,0.516,0.516
34,meta_psiblast4,psiblast,4D1GE,5,0.48,0.98,1e-45,0.48,0.516,0.516
35,meta_hp3,hp,4UMIA,8,0.471,0.99,1.6e-58,0.48,0.516,0.516
36,meta_rapt1,rapt,4UMIA,8,0.471,1,1.437e-09,0.48,0.516,0.516
37,meta_novel2,None,None,None,None,None,None,0,0.68,34
38,meta_novel1,None,None,None,None,None,None,0,0.68,34.5
39,meta_compro2,compro,4D1GA,17,0.471,1,unknown,0.482,0.516,0.518
40,meta_hmmer4,hmmer,4D1GA,17,0.471,1,3.7e-56,0.482,0.516,0.518
41,meta_compro1,compro,4D1GA,17,0.471,1,unknown,0.482,0.516,0.517
42,meta_hmmer5,hmmer,4D0VA,8,0.471,1,3.9e-56,0.483,0.516,0.518
43,meta_csblast2,csblast,4D1GA,17,0.48,0.98,2e-46,0.48,0.515,0.516
44,meta_sam1,sam,4D1GA,17,0.48,0.98,6.26e-26,0.481,0.515,0.517
45,meta_compro4,compro,4D1GA,17,0.471,1,unknown,0.481,0.515,0.517
46,meta_sam4,sam,4D1GA,17,0.48,0.98,6.30e-26,0.48,0.515,0.516
47,meta_sam3,sam,4D1GA,17,0.48,0.98,6.27e-26,0.48,0.515,0.517
48,meta_multicom1,multicom,4D1GA,17,0.48,0.98,5e-46,0.48,0.515,0.516
49,meta_csblast1,csblast,4D1GA,17,0.48,0.98,1e-46,0.48,0.515,0.516
50,meta_csblast5,csblast,4D1GA,17,0.48,0.98,8e-46,0.48,0.515,0.516
51,meta_rapt2,rapt,4D0VA,8,0.471,1,1.597e-09,0.48,0.515,0.516
52,meta_blast5,blast,4D0VB,4,0.48,0.98,1e-46,0.48,0.515,0.516
53,meta_star4,star,4D1GA,17,0.471,1,converted,0.48,0.515,0.517
54,meta_center4,center,4D1GA,17,0.471,1,unknown,0.48,0.515,0.517
55,meta_csiblast4,csiblast,4UMIA,8,0.48,0.98,1e-46,0.48,0.515,0.516
56,meta_multicom5,multicom,4D0VA,8,0.48,0.98,1e-45,0.48,0.515,0.517
57,meta_multicom6,multicom,4D0VA,8,0.48,0.98,1e-45,0.48,0.515,0.516
58,meta_hp2,hp,4UMIA,8,0.471,0.99,4.2e-62,0.48,0.515,0.516
59,meta_multicom7,multicom,4D0VA,8,0.48,0.98,1e-45,0.479,0.515,0.515
60,meta_csblast4,csblast,4D1GA,17,0.48,0.98,8e-46,0.48,0.515,0.516
61,meta_multicom8,multicom,4D1GC,3,0.48,0.98,2e-45,0.481,0.515,0.517
62,meta_csiblast2,csiblast,4D1GA,17,0.48,0.98,9e-47,0.48,0.515,0.516
