Rank,Name,Method,Temp,Freq,Ident,Cov,Evalue,max,gdt,tm
1,meta_hg5,hg,1TTXA,7,0.495,1,1.9e-30,0.819,0.838,0.843
2,meta_ss5,ss,1TTXA,7,0.495,1,1.9e-30,0.819,0.838,0.843
3,meta_hh8,hh,5PALA,9,0.56,0.99,5e-36,0.819,0.838,0.843
4,meta_hs2,hs,4CPVA,10,0.233,0.915,3.3e-37,0.82,0.838,0.843
5,meta_ss1,ss,4CPVA,10,0.485,0.99,6.8e-31,0.82,0.838,0.844
6,meta_hg1,hg,4CPVA,10,0.485,0.99,6.8e-31,0.82,0.838,0.844
7,meta_hh5,hh,4CPVA,10,0.588,0.99,4.2e-36,0.82,0.838,0.844
8,meta_hg2,hg,4CPVA,10,0.644,0.99,1.5e-30,0.819,0.838,0.843
9,meta_ss2,ss,4CPVA,10,0.644,0.99,1.5e-30,0.819,0.838,0.843
10,meta_novel3,None,None,None,None,None,None,0,0.67,40
11,meta_hs4,hs,4CPVA,10,0.233,0.915,7e-37,0.818,0.837,0.842
12,meta_multicom6,multicom,4CPVA,10,0.626,0.99,1e-40,0.819,0.837,0.842
13,meta_deepsf5,None,None,None,None,None,None,0,0.7,6.5
14,meta_ss4,ss,5PALA,9,0.495,0.99,2.6e-30,0.818,0.837,0.842
15,meta_hg4,hg,5PALA,9,0.495,0.99,2.6e-30,0.818,0.837,0.842
16,meta_compro0,compro,3FS7A,14,0.607,0.99,unknown,0.819,0.837,0.842
17,meta_hs5,hs,4CPVA,10,0.588,0.99,4.2e-36,0.82,0.837,0.843
18,meta_com4,com,3FS7A,14,0.598,0.99,1.93e-31,0.819,0.837,0.843
19,meta_hmmer3,hmmer,4CPVA,10,0.635,0.99,1.5e-45,0.819,0.837,0.842
20,meta_hmmer1,hmmer,3FS7A,14,0.588,0.981,1.3e-46,0.819,0.837,0.843
21,meta_multicom3,multicom,4CPVA,10,0.532,0.99,5e-43,0.818,0.837,0.842
22,meta_hs1,hs,4CPVA,10,0.233,0.915,3.3e-37,0.819,0.837,0.843
23,meta_com3,com,1TTXA,7,0.57,1,2.19e-33,0.818,0.837,0.842
24,meta_compro4,compro,3FS7A,14,0.504,0.99,unknown,0.819,0.837,0.842
25,meta_hg3,hg,5PALA,9,0.588,0.99,1.5e-30,0.819,0.837,0.843
26,meta_ss3,ss,5PALA,9,0.588,0.99,1.5e-30,0.819,0.837,0.843
27,meta_hh10,hh,1RROA,9,0.485,0.99,4.1e-36,0.819,0.837,0.843
28,meta_hmmer4,hmmer,2MBXA,7,0.57,1,2.6e-45,0.819,0.837,0.842
29,meta_com5,com,1TTXA,7,0.495,1,4.46e-31,0.819,0.837,0.843
30,meta_hh9,hh,1RROA,9,0.495,0.99,9.1e-36,0.819,0.837,0.843
31,meta_hmmer2,hmmer,3FS7A,14,0.598,0.99,1.4e-46,0.819,0.837,0.843
32,meta_com1,com,2MBXA,7,0.626,1,7.93e-34,0.818,0.837,0.842
33,meta_star1,star,4CPVA,10,0.644,0.981,converted,0.818,0.837,0.842
